"rowname","Especie","Long","Lat","BD","colecta","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","prub","env_group","env_group_2","env_group_3"
"29","albilanata",-98.464112,17.868763,"gbif",NA,213,164,68,1849,331,91,240,223,188,236,188,928,205,2,106,563,13,297,13,2.4260375792856,-3.75081581715151,-1.06396354240347,-0.144350512260343,1.20103735882398,-0.335057217281528,-0.356816301738202,-0.118452161549514,-0.517223864750496,0.122682482460485,-0.255971892825558,-0.255618037035676,-0.356797398660388,-0.0542301994467614,-0.000563278290733032,-0.205951041230837,0.00360766974731423,-0.0405439171052878,-0.0054425625257708,"Albilanata","Albilanata","Albilanata","Albilanata"
"30","albilanata",-96.490591,17.255614,"gbif",NA,153,135,71,1240,248,59,189,157,147,169,136,951,179,12,83,498,39,274,74,-5.04097294579321,-1.70915713236366,4.46223390680714,-0.591384804311725,-0.797397930654436,0.825397400379545,0.0270809171079247,0.364067086357525,1.04721998188434,-0.635431724593778,0.190030312757755,-0.00738357285098312,0.189250214412247,0.132331098549831,-0.0451356850589814,0.108182239807082,-0.00207359757949617,0.0882464761575949,-0.0242260648370635,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"32","albilanata",-97.531915,17.149796,"gbif",NA,180,180,73,1552,294,49,245,191,158,198,158,933,198,10,86,516,41,313,48,-3.46010710728301,-3.29725254649128,-1.19628789824382,0.112944218297194,-2.102045052944,0.541074473681919,-0.247136427691442,-0.0577940850794386,-0.0936297345610373,0.284310737556857,-0.319930004350528,0.139364107677299,0.0202120225839056,-0.0507454105131012,-0.162211816716987,0.104822572869476,0.0908962165684712,-0.0928753683703955,-0.0139936658570394,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"33","albilanata",-99.497101,18.64901,"gbif",NA,236,156,67,1824,356,126,230,241,217,261,213,1042,234,3,108,658,18,85,27,4.23791785142811,-4.70920910873903,0.663714089862813,-0.984845574930424,0.287785005108255,2.48374950533201,-0.0800790308615521,0.559098996798545,-1.91944867409548,-0.389715272432147,0.396794811417726,-0.0238004493399862,0.244986596345507,-0.274358544635621,-0.0249141907660348,-0.13662802887708,-0.0109950252667884,-0.0317886640863827,-0.0338001123695821,"Albilanata","Albilanata","Albilanata","Albilanata"
"36","albilanata",-98.390343,17.753091,"gbif",NA,212,164,68,1822,329,90,239,221,187,235,187,977,231,1,108,604,10,308,10,2.42281745485936,-4.20294520045284,-1.10512422307306,0.116316346525362,1.89787180089135,-0.480448748031832,-0.490775696723975,-0.0519940964078511,-0.707084995554668,0.071147440709462,-0.175024705899658,-0.172422940043181,-0.189654696144459,-0.170276742475663,-0.00218751227489158,-0.210631872778222,0.0281300419825443,-0.0388927804838278,-0.00165923411675664,"unknown","Albilanata","Albilanata","Albilanata"
"37","albilanata",-96.952951,17.588672,"gbif",NA,177,151,68,1709,286,64,222,185,166,197,152,695,140,6,94,385,19,216,33,-0.331004335367016,-0.305004891570245,0.851088108547162,-0.937697772952129,0.388981104935496,0.437323539799997,0.00515674458099647,-0.188580546820102,0.281789871715366,-0.332911352176159,0.146868531869173,-0.256594907590549,-0.141551910021433,-0.0466908581343764,-0.124991741494686,0.0764103572780191,-0.116395644338952,0.107511072604662,0.0260404241829435,"Huauclilla","Huauclilla","Huauclilla","Huauclilla"
"38","albilanata",-99.502617,18.657801,"gbif",NA,237,160,68,1835,358,123,235,244,216,262,213,1044,232,4,106,657,19,312,27,3.31526445126004,-5.97955135696956,-0.0395425813424874,-0.496985411227019,-0.0534070848601541,-0.0377264889435067,-0.161515050001585,-0.00377284047023732,-0.350286176298025,0.0549349254418017,-0.245299350387272,-0.147049649293429,-0.243418084301055,-0.115957014757649,-0.0620865371616236,-0.387680747949875,-0.0417681992491952,-0.0435405331348217,-0.0362816684336809,"Albilanata","Albilanata","Albilanata","Albilanata"
"39","albilanata",-96.984925,16.657309,"gbif",NA,179,153,73,1132,280,72,208,184,164,192,162,986,223,4,96,567,20,358,28,-2.06927002336592,-3.34625356810052,1.59616413661259,2.61448564759055,1.25358453313305,-0.311726174818562,-0.174328983336659,-0.157434258567724,0.274505472197926,0.130639401972967,-0.125070444957384,0.0327297752513748,-0.00889429006948573,-0.0293176306748555,-0.000707049813732373,-0.0104317149787208,0.0418615080124865,-0.0221089331555615,0.0308027263343361,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"40","albilanata",-93.114628,16.621148,"gbif",NA,244,139,69,1564,344,145,199,253,224,263,222,975,222,1,105,591,6,313,18,4.45609933620885,-5.12973422830364,2.58345047734154,1.46053807695556,0.879987220207726,-0.69162156536834,0.409863948811167,0.0908811715669481,0.0324628514789325,-0.212210483217159,-0.138038687818568,0.0157144282363223,0.0897334612862414,0.114069314229297,0.00923793779331763,-0.179236450621676,0.0718247595371301,-0.0479443974971099,0.0171323234533428,"Tehuantepec","Tehuantepec","Tehuantepec","Tehuantepec"
"41","albilanata",-99.50695,18.666646,"gbif",NA,235,155,67,1802,355,124,231,240,215,259,212,1031,232,3,108,651,18,84,27,4.15347488458157,-4.59196987925429,0.675213255044218,-0.969739549217264,0.342359597033948,2.52887465852764,-0.0732592091139081,0.509492894770108,-1.86418591164767,-0.369414274257498,0.43417717741806,0.0453108354204058,0.165790497320963,-0.248758687237288,-0.0260525890032153,-0.147632262204603,-0.00377037388781675,-0.0494639723283817,-0.0173010800229737,"Albilanata","Albilanata","Albilanata","Albilanata"
