"","Especie","Long","Lat","BD","colecta","env_group_3"
"117","haageana",-97.912332,18.590297,"gbif",NA,"M_conspicua"
"118","haageana",-97.466026,18.331358,"gbif",NA,"M_meissneri"
"119","haageana",-97.613554,18.432794,"gbif",NA,"M_conspicua"
"120","haageana",-97.615614,18.432143,"gbif",NA,"M_conspicua"
"121","haageana",-97.1851,17.85249,"gbif",NA,"Oaxacana"
"122","haageana",-97.453603,19.33851,"gbif",NA,"Haageana"
"123","haageana",-97.519994,18.278058,"gbif",NA,"M_meissneri"
"124","haageana",-97.373889,17.976389,"gbif",NA,"Oaxacana"
"125","haageana",-97.443023,18.319085,"gbif",NA,"M_meissneri"
"126","haageana",-97.444409,18.384374,"gbif",NA,"M_meissneri"
"127","haageana",-97.373887,18.317231,"gbif",NA,"M_meissneri"
"128","haageana",-97.481346,18.280115,"gbif",NA,"M_meissneri"
"129","haageana",-97.622795,18.183729,"gbif",NA,"M_conspicua"
"130","haageana",-97.55957,18.325525,"gbif",NA,"M_meissneri"
"131","haageana",-97.412778,17.880833,"gbif",NA,"Oaxacana"
"132","haageana",-97.318047,17.762786,"gbif",NA,"Oaxacana"
"133","haageana",-97.305983,18.073063,"gbif",NA,"Oaxacana"
"134","haageana",-97.439257,17.928038,"gbif",NA,"Oaxacana"
"135","haageana",-99.162486,18.744792,"gbif",NA,"San_angelensis"
"136","haageana",-99.047718,18.686488,"gbif",NA,"San_angelensis"
"137","haageana",-97.380001,18.312851,"gbif",NA,"M_meissneri"
"138","haageana",-97.567678,18.269278,"gbif",NA,"M_conspicua"
"139","haageana",-97.454164,18.329486,"gbif",NA,"M_meissneri"
"140","haageana",-97.309745,18.067554,"gbif",NA,"Oaxacana"
"141","haageana",-97.389633,17.551781,"gbif",NA,"Oaxacana"
"142","haageana",-97.442862,18.327298,"gbif",NA,"M_meissneri"
"143","haageana",-97.343604,18.057471,"gbif",NA,"Oaxacana"
"144","haageana",-97.617155,18.31587,"gbif",NA,"M_meissneri"
"145","haageana",-97.558445,18.277731,"gbif",NA,"M_meissneri"
"146","haageana",-97.559992,18.283966,"gbif",NA,"M_meissneri"
"147","haageana",-97.45816,18.332067,"gbif",NA,"M_meissneri"
"148","haageana",-97.457115,18.330141,"gbif",NA,"M_meissneri"
"149","haageana",-97.457016,18.330418,"gbif",NA,"M_meissneri"
"150","haageana",-97.456291,18.331127,"gbif",NA,"M_meissneri"
"151","haageana",-97.457016,18.33156,"gbif",NA,"M_meissneri"
"152","haageana",-97.560163,18.27333,"gbif",NA,"M_conspicua"
"153","haageana",-97.361046,17.87545,"gbif",NA,"Oaxacana"
"154","haageana",-97.691673,17.894515,"gbif",NA,"M_conspicua"
"155","haageana",-97.356763,18.456823,"gbif",NA,"M_meissneri"
"156","haageana",-97.415511,19.418286,"gbif",NA,"Haageana"
"157","haageana",-97.428628,19.514786,"gbif",NA,"Haageana"
"158","haageana",-97.414772,19.419206,"gbif",NA,"Haageana"
"159","haageana",-97.452984,18.327783,"gbif",NA,"M_meissneri"
"160","haageana",-97.754776,18.620033,"gbif",NA,"M_conspicua"
"161","haageana",-97.434745,18.356757,"gbif",NA,"M_meissneri"
"162","haageana",-97.563064,19.344442,"gbif",NA,"Haageana"
"163","haageana",-97.454481,19.331691,"gbif",NA,"Haageana"
"164","haageana",-97.564858,19.344861,"gbif",NA,"Haageana"
"165","haageana",-97.269048,19.545671,"gbif",NA,"Haageana"
"166","haageana",-97.495942,19.359036,"gbif",NA,"Haageana"
"167","haageana",-97.492547,19.351892,"gbif",NA,"Haageana"
"168","haageana",-97.84087,17.87829,"gbif",NA,"M_conspicua"
"169","haageana",-97.496757,17.850148,"gbif",NA,"Oaxacana"
"170","haageana",-97.719335,18.067345,"gbif",NA,"M_conspicua"
"171","haageana",-97.611725,18.242501,"gbif",NA,"M_conspicua"
"172","haageana",-97.494064,18.044042,"gbif",NA,"M_conspicua"
"173","haageana",-97.615,18.316111,"gbif",NA,"M_meissneri"
"174","haageana",-97.445563,18.342407,"gbif",NA,"M_meissneri"
"175","haageana",-97.373199,18.307677,"gbif",NA,"M_meissneri"
"176","haageana",-97.546667,18.252222,"gbif",NA,"M_meissneri"
"177","haageana",-97.377319,18.317129,"gbif",NA,"M_meissneri"
"178","haageana",-97.373543,18.315174,"gbif",NA,"M_meissneri"
"179","haageana",-97.45079,18.342794,"gbif",NA,"M_meissneri"
