"Especie","Lat","Long","BD","colecta"
"haageana",18.211564,-97.672695,"gbif",NA
"haageana",18.407306,-97.469556,"gbif",NA
"haageana",17.817528,-97.320833,"gbif",NA
"haageana",18.243699,-97.484779,"gbif",NA
"haageana",18.330199,-97.457107,"gbif",NA
"haageana",18.330403,-97.456936,"gbif",NA
"haageana",18.330533,-97.457571,"gbif",NA
"haageana",18.623667,-97.4625,"gbif",NA
"haageana",18.236194,-97.571556,"gbif",NA
"haageana",18.239722,-97.547167,"gbif",NA
"haageana",18.319222,-97.458889,"gbif",NA
"haageana",18.375944,-97.435861,"gbif",NA
"haageana",18.349278,-97.47875,"gbif",NA
"haageana",18.36,-97.475361,"gbif",NA
"haageana",18.353806,-97.478139,"gbif",NA
"haageana",18.357139,-97.4805,"gbif",NA
"haageana",18.359472,-97.482722,"gbif",NA
"haageana",18.682167,-97.382222,"gbif",NA
"haageana",18.255556,-97.453139,"gbif",NA
"haageana",18.232194,-97.435528,"gbif",NA
"haageana",18.404472,-97.519222,"gbif",NA
"haageana",18.26825,-97.50025,"gbif",NA
"haageana",18.43075,-97.474861,"gbif",NA
"haageana",18.706556,-97.403889,"gbif",NA
"haageana",18.697833,-97.408583,"gbif",NA
"haageana",18.201611,-97.532917,"gbif",NA
"haageana",18.4195,-97.466944,"gbif",NA
"haageana",18.705139,-97.405361,"gbif",NA
"haageana",17.578083,-97.090667,"gbif",NA
"haageana",18.760194,-97.520889,"gbif",NA
"haageana",18.737139,-97.556778,"gbif",NA
"haageana",18.73825,-97.620306,"gbif",NA
"haageana",18.603833,-97.463889,"gbif",NA
"haageana",18.608333,-97.471667,"gbif",NA
"haageana",18.345306,-97.361028,"gbif",NA
"haageana",18.321111,-97.649444,"gbif",NA
"haageana",18.367639,-97.590944,"gbif",NA
"haageana",18.366194,-97.602583,"gbif",NA
"haageana",18.280472,-97.330861,"gbif",NA
"haageana",18.201,-97.528278,"gbif",NA
"haageana",18.33475,-97.633778,"gbif",NA
"haageana",18.347417,-97.576222,"gbif",NA
"haageana",18.663333,-97.456389,"gbif",NA
"haageana",18.373889,-97.437222,"gbif",NA
"haageana",18.195833,-97.505833,"gbif",NA
"haageana",18.590278,-97.470556,"gbif",NA
"haageana",18.329937,-97.455476,"gbif",NA
"haageana",18.216639,-97.414722,"gbif",NA
"haageana",18.318917,-97.499444,"gbif",NA
"haageana",18.361861,-97.363611,"gbif",NA
"haageana",18.317972,-97.38,"gbif",NA
"haageana",18.338806,-97.452111,"gbif",NA
"haageana",18.319389,-97.38,"gbif",NA
"haageana",18.311972,-97.379722,"gbif",NA
"haageana",18.255361,-97.4925,"gbif",NA
"haageana",18.402611,-97.512389,"gbif",NA
"haageana",18.41025,-97.484806,"gbif",NA
"haageana",18.404889,-97.526167,"gbif",NA
"haageana",18.318083,-97.555972,"gbif",NA
"haageana",18.40475,-97.449167,"gbif",NA
"haageana",18.39025,-97.572444,"gbif",NA
"haageana",18.607111,-97.474806,"gbif",NA
"haageana",18.250833,-97.550083,"gbif",NA
"haageana",18.48266,-97.53944,"gbif",NA
"haageana",17.822167,-97.796556,"gbif",NA
"haageana",18.03202,-97.69344,"gbif",NA
"haageana",17.94036,-97.87583,"gbif",NA
"haageana",18.08663,-97.93318,"gbif",NA
"haageana",18.340583,-97.446972,"gbif",NA
"haageana",18.340806,-97.448333,"gbif",NA
"haageana",18.340444,-97.447333,"gbif",NA
"haageana",18.41925,-97.420417,"gbif",NA
"haageana",18.224833,-97.502222,"gbif",NA
"haageana",18.342111,-97.449528,"gbif",NA
"haageana",18.337278,-97.446583,"gbif",NA
"haageana",18.202778,-97.663889,"gbif",NA
"haageana",18.199444,-97.1575,"gbif",NA
"haageana",18.320694,-97.426111,"gbif",NA
"haageana",18.3235,-97.435056,"gbif",NA
"haageana",18.303917,-97.359722,"gbif",NA
"haageana",18.319972,-97.448056,"gbif",NA
"haageana",18.316778,-97.440556,"gbif",NA
"haageana",18.322583,-97.435556,"gbif",NA
