"Especie","Long","Lat","BD","colecta","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","env_group_3","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"albilanata",-98.464112,17.868763,"gbif",NA,213,164,68,1849,331,91,240,223,188,236,188,928,205,2,106,563,13,297,13,"Albilanata",2.87547655923791,-3.96995978048239,-0.993143169135292,-0.142953451200461,-1.24823899597193,0.280257414202161,-0.421982894260457,0.187587028592551,0.51589619429319,0.336992140044539,0.319505047054044,-0.211079870871286,-0.434717088418354,0.123956910419751,-0.145034454644971,0.189880574483354,-0.118067865572787,0.0525603233237987,-0.00200114766686044
"albilanata",-96.490591,17.255614,"gbif",NA,153,135,71,1240,248,59,189,157,147,169,136,951,179,12,83,498,39,274,74,"Oaxacana",-5.74559231268806,-2.70432791746636,5.79260557280089,-0.496092387104511,1.87671220899077,-0.160689689798617,0.323596987687144,0.542218308297412,-1.18341399870552,-1.01074299671674,-0.143238119505088,-0.125741751815636,0.39390462111226,-0.314433167384361,0.0990813988768969,-0.142276404039089,0.0703805425116343,-0.0689544934532885,-0.0311501237119654
"albilanata",-97.531915,17.149796,"gbif",NA,180,180,73,1552,294,49,245,191,158,198,158,933,198,10,86,516,41,313,48,"Oaxacana",-3.9476461290114,-4.43455978043199,-0.274437904061614,-0.0788995982116476,3.27827984856495,0.392097365493954,-0.0408372669125038,-0.000734283439825845,0.0896954747494219,0.651462090612646,0.1913514308268,0.338359387349387,0.0164616017244702,0.0234821363341854,0.0897552054006991,-0.0163617176610699,0.153385339307544,0.0683039629155058,-0.00998168871621706
"albilanata",-99.497101,18.64901,"gbif",NA,236,156,67,1824,356,126,230,241,217,261,213,1042,234,3,108,658,18,85,27,"Albilanata",4.73579844321259,-4.49948811665517,1.20998641754524,-1.05785907886113,0.596408756995588,-3.0081990734682,-0.619970357699987,0.29162559794445,1.99763535344828,-0.41983034745442,-0.340653901517134,-0.113926004953794,0.170651113525339,0.307805985971901,-0.1006262568853,0.0778003765801007,-0.0885301978506015,0.0496162492124892,-0.0371225279854266
"albilanata",-98.390343,17.753091,"gbif",NA,212,164,68,1822,329,90,239,221,187,235,187,977,231,1,108,604,10,308,10,"Albilanata",3.0006379014509,-4.45905560902805,-1.12745688716168,0.189951290717296,-2.07145232413025,0.25410525760396,-0.606833708408174,0.39357665774219,0.704672447931088,0.267012044174392,0.198069620570623,-0.173666607116052,-0.259038298237207,0.222780645623298,-0.166942678867514,0.168731302692099,-0.0979965894948721,0.0454163782977235,-0.00107861196556688
"albilanata",-96.952951,17.588672,"gbif",NA,177,151,68,1709,286,64,222,185,166,197,152,695,140,6,94,385,19,216,33,"Huauclilla",-0.529306508292557,-0.58682545344433,1.24586171765715,-1.05871759746684,-0.0212745646331191,-0.286183616717557,-0.197430758605793,-0.152033897563338,-0.343093052110533,-0.525337285921969,-0.00822385250062923,-0.292486675970719,-0.130393376567142,-0.00239383310475187,0.214000018074495,0.0486972268902241,-0.0746871643850643,-0.0940619607197942,0.0269967121817505
"albilanata",-99.502617,18.657801,"gbif",NA,237,160,68,1835,358,123,235,244,216,262,213,1044,232,4,106,657,19,312,27,"Albilanata",3.82539477614286,-6.18834597779743,0.463496599576565,-0.497145172464303,0.297024650215504,0.309875415961696,-0.00537808454103526,0.125164951524439,0.400260157880305,0.20925190886423,0.226421681245643,-0.0659267303419025,-0.250193862875862,0.146991217092686,-0.197790474745351,0.338377078125427,-0.202494720613458,0.0635014671313773,-0.0309241383384096
"albilanata",-96.984925,16.657309,"gbif",NA,179,153,73,1132,280,72,208,184,164,192,162,986,223,4,96,567,20,358,28,"Oaxacana",-1.9680546658392,-4.02565166969488,1.84489602903456,3.17444088367954,-1.24663084411929,0.467965046702003,-0.265798022844937,0.305015198693943,-0.45854019566241,0.194121416583333,0.0148221636620035,-0.00370804197673814,0.0461651148965022,-0.0221289276145779,-0.0522052658264394,-0.0832157593478803,0.0275148161942553,0.0144092388952529,0.0239062535758282
"albilanata",-93.114628,16.621148,"gbif",NA,244,139,69,1564,344,145,199,253,224,263,222,975,222,1,105,591,6,313,18,"Tehuantepec",5.22077305415305,-4.81433887568173,2.69025514659712,2.01445288816071,-1.5096145530587,0.584768031787603,0.613658600390727,0.0621098364592242,0.0797122462729243,-0.298844154875425,0.0586898468201587,-0.0806252596463532,0.162494819433786,-0.12751541570411,-0.168571074048368,0.0590764029870105,-0.012825933216736,0.0557696970904275,0.0100633564765993
"albilanata",-99.50695,18.666646,"gbif",NA,235,155,67,1802,355,124,231,240,215,259,212,1031,232,3,108,651,18,84,27,"Albilanata",4.63571741725606,-4.38870465413088,1.21561760496072,-1.04090660528212,0.551788141764536,-3.05834789414109,-0.662864342018306,0.254130229439555,1.90985944537376,-0.424576161173033,-0.361862933622402,-0.0343724723884862,0.0956137819684347,0.276757980816384,-0.10875433133671,0.0884879656753165,-0.0860616597178181,0.0693310962559226,-0.0192714126326815
"albilanata",-99.517937,18.669898,"gbif",NA,224,142,66,1690,338,124,214,226,207,248,204,1106,243,4,105,685,21,94,33,"Albilanata",3.554548691065,-4.44271404491277,3.18008813681831,-1.39742334720046,-0.134721690942705,-3.03448498152429,-0.497255660426399,0.297721444095493,1.79932486125344,-0.471625566215812,-0.437987226739746,-0.11886467839156,0.179485219235142,0.281153628616973,-0.192195140235323,0.00684448763545802,-0.08110245256385,0.0737815162596005,-0.0595990115751466
"albilanata",-99.492187,18.672593,"gbif",NA,235,154,67,1803,353,125,228,239,215,259,212,1014,231,3,107,641,18,83,27,"Albilanata",4.61901616144112,-4.22096950909264,1.39987065142429,-1.00238431298784,0.540402728679368,-2.99279675830288,-0.55782044044485,0.246376753277394,1.91502846563862,-0.410996053212553,-0.395961529508391,-0.0438542565553359,0.189038157061732,0.312663524110169,-0.113761254302169,0.0789014675104462,-0.0481025718226111,0.0624538029018564,-0.0242567305182001
"albilanata",-99.499741,18.694616,"gbif",NA,215,136,66,1610,324,119,205,216,198,238,196,1124,242,5,103,683,25,102,35,"Albilanata",2.50737726346454,-4.20240140686484,4.18138236616266,-1.42545824564161,-0.255421063033082,-2.89800404467477,-0.539726871987407,0.332516508295811,1.74169402042382,-0.240978425952492,-0.419771780428857,-0.134024164355925,0.131467872189551,0.248641832462907,-0.223509488540287,-0.0452586377407933,-0.0447241289917079,0.0713197407340075,-0.0629532093964657
"albilanata",-99.510319,18.668412,"gbif",NA,236,158,67,1852,356,123,233,242,215,261,212,1030,230,4,107,649,19,83,27,"Albilanata",4.53033666468714,-4.42913030604787,1.05216417706612,-1.31308823005392,0.964120963825708,-2.85607943469632,-0.747679017319311,0.0813856278799451,2.10808788186971,-0.409254902614663,-0.313432990384129,-0.0765762432475737,0.145543442578123,0.253158702274178,-0.0925129592401837,0.0947141309403386,-0.0600568636428698,0.0514873710510924,-0.0267392143118682
"albilanata",-97.271806,17.6855,"gbif",NA,143,161,70,1453,256,29,227,150,124,161,122,832,179,7,87,445,30,297,42,"Oaxacana",-4.88683904645985,-1.73249338279218,0.7965012414309,-0.486652657846614,-0.306055707021109,-0.0261208280619202,-0.1802843629481,0.262819352281019,-0.603321110451095,0.0994166570995049,0.0683279938746853,-0.0195663278860127,0.067484083674578,0.0712033787504134,-0.113874804201502,-0.0651264845121022,-0.0936674514973097,0.00419334563835734,-0.00989734083437524
"albilanata",-97.245097,17.695323,"gbif",NA,137,156,70,1379,247,27,220,143,129,153,117,975,203,11,86,526,39,324,56,"Oaxacana",-6.54340109125066,-3.14594979272152,2.47302466479007,-1.22932723105066,0.605671183861824,0.304700710323582,-0.578121880606912,0.281155504833283,-0.669956827765963,0.0180234883799515,0.0219990372830865,-0.112202957752198,0.0769278429436225,0.048085663008806,0.108908874283112,-0.113289187019834,-0.146208218188135,-0.0242379487520701,0.0203330488458409
"albilanata",-99.525404,18.662347,"gbif",NA,225,142,66,1684,339,125,214,227,208,249,205,1108,243,4,105,687,21,95,32,"Albilanata",3.63578810612013,-4.47516012591366,3.18015693784314,-1.34978554088524,-0.142762578749716,-3.013033568959,-0.503240601345787,0.236433778529939,1.8328793901773,-0.416173433173437,-0.429978518219865,-0.114974634678596,0.154688821473129,0.283342745008018,-0.191857306919059,0.0100453350385703,-0.0835041007598825,0.0733611849247481,-0.0595951580865742
"albilanata",-97.981396,17.5241,"gbif",NA,190,179,73,1492,305,62,243,199,168,208,168,848,167,5,93,468,23,273,23,"Oaxacana",-1.07050514425505,-2.85880963445214,-1.45461338514467,1.76065746564674,1.24850417608934,-0.12788110326936,-0.220883786843697,-0.387045744155496,0.346725167989405,0.403275998005442,0.291965807891259,-0.0840473293633357,-0.285312138493989,0.00324626034440175,0.0316030925281498,-0.050490250390591,0.0619608275689376,-0.0320939014460533,-0.00392436801724716
"albilanata",-96.629508,16.294656,"gbif",NA,172,134,74,926,260,81,179,175,160,183,159,1100,252,3,102,656,15,401,18,"Oaxacana",-1.99278953871982,-4.32004846045601,4.00520290508734,4.9768804352928,-3.33191065295781,1.11251763583252,-0.871856646348149,0.907165123878467,-0.176487612763331,0.245604249212171,-0.0627066864381808,-0.293554257157216,-0.0885381580177556,-0.0954819853266405,-0.116880906559408,-0.0258552421024945,0.0275953398389221,0.0113180027626368,0.0170285435398084
"albilanata",-96.930951,17.439065,"gbif",NA,159,155,71,1392,268,50,218,165,142,177,139,722,162,5,92,402,20,253,28,"Oaxacana",-2.53183616094245,-0.719698672003135,0.967173078872301,1.12804561615168,-0.702347155556474,-0.254009246883361,-0.438962986588183,0.0346062572149406,-0.351371466504138,-0.115910285525847,-0.106818079158548,-0.0801091127791711,0.0143957041107123,0.0397800780230289,-0.0586475459312451,0.0232683748696615,-0.0591743334050602,-0.0449178581685525,-0.0153311951644029
"albilanata",-96.940127,17.484824,"gbif",NA,155,154,70,1399,264,46,218,160,136,172,135,745,169,6,92,417,22,259,33,"Oaxacana",-3.06306843719116,-0.962563642934448,1.30219861192896,0.362277133373426,-0.758055220026563,-0.265945130646479,-0.581928164834169,-0.000770909805479947,-0.522048280101968,-0.170746637145612,-0.0667076162866328,-0.106208170038634,0.121042647655422,0.0157973556244088,-0.121652388309434,0.0357090444656591,-0.0568564746863188,0.00505809797176237,0.00717947910396598
"albilanata",-99.524924,18.69738,"gbif",NA,228,148,67,1733,344,124,220,231,210,252,207,1042,234,3,107,655,18,86,28,"Albilanata",4.14739397790493,-4.09574686218749,2.16432453423348,-0.804452882553451,0.0652263717198797,-3.02339506057,-0.605548935521919,0.39767140843993,1.86239305481102,-0.486424351141521,-0.435626480438729,-0.123892206466627,0.163210294712122,0.298069218265803,-0.149913209229234,0.0610723739871769,-0.0767933133726793,0.0590056171443529,-0.0466881425307863
"albilanata",-97.944283,17.70238,"gbif",NA,204,176,71,1762,320,74,246,215,179,224,179,796,180,2,96,429,13,284,23,"Sto_domingo",1.21327029621889,-2.84984005412617,-2.1167108444632,0.940783680747949,0.186830873865024,0.174433658948862,0.396734527273991,0.135954979973986,0.00881143221765938,-0.236066934707111,0.120877433171766,0.100643839936616,0.0752614503044595,0.0896607244085739,-0.0439950423624691,-0.139053729319244,0.0727512125298565,-0.00681930903619473,-0.00181878713598375
"albilanata",-96.90965,17.053715,"gbif",NA,175,157,72,1325,281,64,217,181,158,191,156,827,178,4,92,469,20,302,26,"Oaxacana",-1.75057717076474,-2.20046720600236,0.924525831486528,2.10124776424701,-0.655029504849973,0.146900880735196,0.0566706479761865,0.00628571518411498,-0.325640232523753,0.160666359186872,0.0337715205856183,-0.0540262240042484,-0.0938990961142133,0.0245792638171857,-0.0295514796103919,-0.00500990455534553,0.0113786838971895,0.000996639853586262,-0.00325433365330217
"albilanata",-97.242737,18.156291,"gbif",NA,215,156,68,2041,328,100,228,223,200,240,187,452,106,3,99,244,13,154,19,"M_meissneri",3.87790810414966,0.646680637015805,-0.158892840887079,-0.810851382375223,1.09213753332534,-0.328373981917283,0.27501406256728,-0.0890230149820126,-0.0909847102306886,-0.151579965948503,-0.110957031746636,-0.151079355313791,-0.0295621749369555,0.239038407875673,0.149886794677212,0.110194056040468,-0.0442730590388465,-0.135013518820416,-0.0218143924602091
"albilanata",-96.10027,16.66166,"gbif",NA,231,146,68,1712,333,119,214,243,207,251,207,653,150,3,97,360,10,231,10,"Tehuantepec",4.47475555726764,-1.3718520678504,1.36535337938423,0.636250948816761,-0.22955025160585,0.387665796999631,0.4590580564084,-1.06272376374491,0.146209609996891,0.254991607634047,0.00510393571296115,0.213636630696188,-0.0633186224049779,-0.0877802335458166,-0.0456145907460562,-0.0389485041085527,0.126475158494507,0.0482925062640044,-0.00509005830389197
"albilanata",-98.017745,17.643565,"gbif",NA,212,173,70,1803,328,84,244,223,187,234,187,797,176,2,98,449,13,279,18,"Sto_domingo",2.18932739075203,-2.9345589920673,-1.81587914698314,0.6285899633967,0.0421099424739953,0.214549322356913,0.317782188762412,-0.0995888745984476,0.192951928464932,0.0620019649676854,0.226137272803312,-0.00389677291601857,-0.0922704339883417,0.0984480456611949,-0.0479131399683226,-0.0142265952788861,0.0547262649937138,0.0013973311805761,-0.0236591175369206
"albilanata",-98.04599,17.636128,"gbif",NA,212,173,70,1770,328,84,244,222,187,233,187,817,178,2,98,465,13,282,17,"Sto_domingo",2.12482428949801,-3.07715295913813,-1.78408181602465,0.730278161394146,-0.0776831484806562,0.177522128741403,0.279496134265764,-0.194656876092344,0.238582723400849,0.1101121072465,0.242837590416744,-0.0334678820637511,-0.146869953169765,0.103335622718903,-0.0533941125479113,-0.000716253526924672,0.0411295024142049,0.00927818304435246,-0.00516024205221851
"albilanata",-98.041745,17.949431,"gbif",NA,217,172,69,1950,335,88,247,229,190,240,189,744,172,2,99,414,10,266,15,"Sto_domingo",3.0860435619839,-2.51059757062491,-2.09822512037469,-0.0238528436121307,-0.0384636923158185,0.411763655336291,0.242874735513621,-0.187964337661538,0.320244192313827,-0.0885222529937669,0.14641477463385,0.0651156284918078,-0.0624722038916951,0.116058214751166,-0.0817294919599828,-0.00578254795689034,-0.00249939682175746,-0.0170190010087641,0.000518014225186147
"albilanata",-95.199418,16.349385,"gbif",NA,276,106,68,1380,353,199,154,287,273,291,256,884,228,2,114,525,7,280,12,"Tehuantepec",8.49841090019583,-4.44499803400642,7.25653649002068,2.91761284315108,-1.4268118888177,0.819606238182033,0.0957960575138755,-0.102688352475879,-0.278209405904773,0.397096538308504,-0.231297406968331,0.0709287667712381,0.44844269711777,-0.174598396997242,0.214751897139704,-0.177712357048207,0.086408829801517,-0.00243496413120515,0.0534045216539575
"albilanata",-96.945556,17.567528,"gbif",NA,182,151,67,1771,292,69,223,192,171,204,157,680,138,6,93,376,19,214,32,"Huauclilla",0.052372743979886,-0.596674838831686,1.229394540394,-1.58227079582162,0.00170164441740916,-0.221585689722575,0.0161957572699593,-0.396842134278194,-0.308920479595314,-0.400467441396,0.0312421699331245,-0.253950075340556,-0.0683587533342142,0.0150588502450057,0.221472271965627,0.0373580874835299,-0.0691845076154029,-0.0755316428447773,-0.00725678495562274
